lr,step_size,weight_decay,gamma,mAP_50_95,mAP_50,final_loss
0.005,3,0.0001,0.1,0.2613998710943183,0.6123614781858897,0.4054073200786495
0.005,3,0.0005,0.1,0.26175134017842244,0.6104444626829412,0.4039484387323192
0.005,5,0.0001,0.1,0.26113471933513754,0.612741054505995,0.3815064676548248
0.005,5,0.0005,0.1,0.2659912897135583,0.6164244240020762,0.383185121804884
0.01,3,0.0001,0.1,0.2699247043035777,0.6246409560784255,0.3846642667912457
0.01,3,0.0005,0.1,0.2694948219786407,0.6237315256701839,0.3882981233945176
0.01,5,0.0001,0.1,0.26510709781882047,0.6170570708737515,0.35790314208971313
0.01,5,0.0005,0.1,0.26855668687068,0.6226242051856352,0.36366256367262095
